Player,Rank
,
Little Bear,Diamond
Silly Gilly,Ascendant
Butternut,Ascendant
Cottonball,Diamond
Snoopy,Diamond
Munchkin,Diamond
Fiesta,Immortal
Frogger,-
Shorty,Diamond
Bebe,-
Amorcita,Silver
Tiny,-
Chickie,Platinum
Belle,Immortal
Apple Jack,Ascendant
Big Guy,Immortal
Hulk,Ascendant
Anvil,Platinum
DJ,Immortal
Double Bubble,Immortal
Doofus,-
Fury,-
Bruiser,Ascendant
Azkaban,-
Cowboy,Ascendant
Pickles,Gold
Daffodil,-
Bambino,Immortal
Sweety,-
French Fry,Diamond
Pixie,-
Halfling,Gold
Pig,Diamond
Cindy Lou Who,Ascendant
Donuts,Diamond
Wilma,Diamond
Mini Skirt,Platinum
Bridge,Platinum
Beef,-
Foxy Lady,Diamond
Romeo,-
Cherry,Diamond
Cheesestick,Immortal
Shnookie,Platinum
Janitor,-
Inchworm,-
Buck,Immortal
Snickerdoodle,Bronze
Guy,Platinum
Sport,Ascendant
Buzz,Immortal
Robin,Platinum
Hermione,-
Dimples,-
Figgy,Ascendant